time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,8,3,1,1
2026-06-19 00:00:00+00:00,51,11,0,0
2026-06-20 00:00:00+00:00,38,9,1,1
2026-06-21 00:00:00+00:00,40,11,0,0
2026-06-22 00:00:00+00:00,23,8,1,1
2026-06-23 00:00:00+00:00,27,7,0,0
2026-06-24 00:00:00+00:00,8,3,0,0
2026-06-25 00:00:00+00:00,40,11,0,0
2026-06-26 00:00:00+00:00,19,6,0,0
2026-06-27 00:00:00+00:00,12,5,0,0
2026-06-28 00:00:00+00:00,2,2,20,4
2026-06-29 00:00:00+00:00,21,7,0,0
2026-06-30 00:00:00+00:00,2,2,0,0
2026-07-01 00:00:00+00:00,7,2,0,0
