url_path,views_total,views_unique
/peff74/PIR_YX-358A,43,24
/peff74/PIR_YX-358A/blob/main/PIR_33DC.jpg,10,5
/peff74/PIR_YX-358A/blob/main/SP015A.pdf,9,7
/peff74/PIR_YX-358A/blob/main/SP015A%EF%BC%88rev2.1%EF%BC%89.pdf,7,6
/peff74/PIR_YX-358A/blob/main/PIR_otherVersion.jpg,6,5
/peff74/PIR_YX-358A/blob/main/OnTime.jpg,5,5
/peff74/PIR_YX-358A/blob/main/PIR_230VAC.jpg,5,5
/peff74/PIR_YX-358A/blob/main/PIR_230V_PCB.jpg,5,4
/peff74/PIR_YX-358A/blob/main/MOD_1.jpg,4,4
/peff74/PIR_YX-358A/blob/main/PIR_1.jpg,4,4
