time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,16,5,0,0
2026-04-30 00:00:00+00:00,10,4,3,3
2026-05-01 00:00:00+00:00,45,11,0,0
2026-05-02 00:00:00+00:00,24,8,3,1
2026-05-03 00:00:00+00:00,30,10,1,1
2026-05-04 00:00:00+00:00,43,15,1,1
2026-05-05 00:00:00+00:00,46,13,1,1
2026-05-06 00:00:00+00:00,13,6,0,0
2026-05-07 00:00:00+00:00,28,9,2,1
2026-05-08 00:00:00+00:00,14,7,6,2
2026-05-09 00:00:00+00:00,10,5,2,2
2026-05-10 00:00:00+00:00,24,7,2,2
2026-05-11 00:00:00+00:00,1,1,0,0
2026-05-12 00:00:00+00:00,19,4,1,1
