time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-17 00:00:00+00:00,1.0,1.0,3,2
2025-10-18 00:00:00+00:00,2.0,2.0,1,1
2025-10-19 00:00:00+00:00,1.0,1.0,3,2
2025-10-20 00:00:00+00:00,14.0,4.0,6,2
2025-10-21 00:00:00+00:00,13.0,3.0,12,5
2025-10-22 00:00:00+00:00,9.0,4.0,3,1
2025-10-23 00:00:00+00:00,1.0,1.0,27,3
2025-10-24 00:00:00+00:00,9.0,4.0,4,3
2025-10-25 00:00:00+00:00,15.0,4.0,5,2
2025-10-26 00:00:00+00:00,7.0,2.0,9,4
2025-10-27 00:00:00+00:00,9.0,4.0,7,4
2025-10-28 00:00:00+00:00,2.0,2.0,14,4
2025-10-29 00:00:00+00:00,7.0,2.0,26,4
2025-10-30 00:00:00+00:00,,,8,6
